快照日期,排名,標題,類別,立場,來源,發布時間
2026-09-14,4,持續往南追…高金素梅前助理張俊傑逃亡案 警連2天自南部帶回2男釐清,政治,批在野,UDN 聯合報,"Sun, 13 Sep 2026 14:38:27 GMT"
2026-09-14,5,習近平出席印度金磚峰會：時隔七年再訪，與莫迪、普京握手背後，中印關係破冰？,國際,非政治,BBC,"Sun, 13 Sep 2026 11:02:52 GMT"
2026-09-14,5,快訊／涉共諜案！張俊傑棄千萬保金跑了 白牌車「包手男」聲押禁見獲准,政治,批在野,三立新聞,"Sat, 12 Sep 2026 14:56:00 GMT"
2026-09-14,5,習近平不對勁？莫迪金磚峰會演說2度問「還好嗎」 晚宴罕見缺席,國際,非政治,自由時報,"Sun, 13 Sep 2026 10:03:48 GMT"
2026-09-14,6,昔嗆不歡迎柯文哲來日本 日議員上畠寛弘與沈伯洋合體：研究吸菸區管理,政治,正面執政,三立新聞,"Sun, 13 Sep 2026 08:24:00 GMT"
2026-09-14,6,殺女友棄屍陽明山！37歲凶嫌啃老還吹牛「我賣遊艇」,社會,非政治,東森新聞,"Sun, 13 Sep 2026 04:26:00 GMT"
2026-09-14,6,冷血同居男友遭起底！他前科累累…勒斃女友「棄屍陽明山」淪荒野腐屍,社會,非政治,三立新聞,"Sun, 13 Sep 2026 01:38:00 GMT"
2026-09-14,7,民進黨創黨元老林豐喜挺江啟臣任顧問團長 民進黨：將開會討論,政治,中性政治,UDN 聯合報,"Sun, 13 Sep 2026 08:14:58 GMT"
2026-09-14,7,IVE小巨蛋看板出現Chinese Taipei惹議 洪健益點名蔣萬安應立即回應,政治,批在野,自由時報,"Sun, 13 Sep 2026 13:51:32 GMT"
2026-09-14,7,預言「藍至少掉5席」！他才剛被國民黨開除 現身站台力挺蘇巧慧,政治,中性政治,Yahoo新聞,"Sun, 13 Sep 2026 22:32:00 GMT"
2026-09-14,8,預言「藍至少掉5席」！他才剛被國民黨開除 現身站台力挺蘇巧慧,政治,中性政治,Yahoo新聞,"Sun, 13 Sep 2026 22:32:00 GMT"
2026-09-14,8,預言「藍至少掉5席」！他才剛被國民黨開除 現身站台力挺蘇巧慧,政治,中性政治,Yahoo新聞,"Sun, 13 Sep 2026 22:32:00 GMT"
2026-09-14,8,主動找沈伯洋敬酒卻說「被突襲」？秦慧珠深夜發聲還原現場,政治,中性政治,自由時報,"Sun, 13 Sep 2026 22:46:00 GMT"
2026-09-14,9,年底大選「兩個人的武林」 他：蔣萬安選情不垮也人設半毀,政治,批在野,壹蘋新聞網,"Sun, 13 Sep 2026 11:56:00 GMT"
2026-09-14,9,主動找沈伯洋敬酒卻說「被突襲」？秦慧珠深夜發聲還原現場,政治,中性政治,自由時報,"Sun, 13 Sep 2026 22:46:00 GMT"
2026-09-14,9,卓榮泰酸台北敬老卡只600點...市府回應使用範圍最廣 嗆卓助選搞政治,政治,互批,UDN 聯合報,"Sun, 13 Sep 2026 11:45:35 GMT"
2026-09-14,10,卓榮泰酸台北敬老卡只600點...市府回應使用範圍最廣 嗆卓助選搞政治,政治,互批,UDN 聯合報,"Sun, 13 Sep 2026 11:45:35 GMT"
2026-09-14,10,年底大選「兩個人的武林」 他：蔣萬安選情不垮也人設半毀,政治,批在野,壹蘋新聞網,"Sun, 13 Sep 2026 11:56:00 GMT"
2026-09-14,10,不擔心習近平取消訪美！川普公開喊「兩人還是超麻吉」,國際,非政治,Yahoo新聞,"Sun, 13 Sep 2026 16:12:00 GMT"
2026-09-15,1,中國入境新規9/15施行 陸委會示警5類民眾需留意風險,政治,中性政治,公視新聞網PNN,"Mon, 14 Sep 2026 04:35:09 GMT"
2026-09-15,1,中國入境新規9/15施行 陸委會示警5類民眾需留意風險,政治,中性政治,公視新聞網PNN,"Mon, 14 Sep 2026 04:35:09 GMT"
2026-09-15,1,AI巨頭齊踩煞車！費半狂洩692點、記憶體股全崩 台指期夜盤失守46K、台積電ADR收黑,經濟財經,非政治,Yahoo新聞,"Mon, 14 Sep 2026 23:15:00 GMT"
2026-09-15,2,沖繩變天 日布局「台灣有事」阻力大減,國際,非政治,UDN 聯合報,"Mon, 14 Sep 2026 16:02:18 GMT"
2026-09-15,2,杜鵑最快今生成 專家：下周一起影響日本 乾脆不囉嗦的颱風,生活氣象,非政治,UDN 聯合報,"Mon, 14 Sep 2026 22:15:45 GMT"
2026-09-15,2,中國入境新規9/15施行 陸委會示警5類民眾需留意風險,政治,中性政治,公視新聞網PNN,"Mon, 14 Sep 2026 04:35:09 GMT"
2026-09-15,3,蕭美琴驚險突破封鎖抵義大利！北京不爽嗆卑鄙 他讚外交一事：見證歷史,政治,正面執政,三立新聞,"Sun, 13 Sep 2026 21:57:00 GMT"
2026-09-15,3,沖繩變天 日布局「台灣有事」阻力大減,國際,非政治,UDN 聯合報,"Mon, 14 Sep 2026 16:02:18 GMT"
2026-09-15,3,沖繩變天 日布局「台灣有事」阻力大減,國際,非政治,UDN 聯合報,"Mon, 14 Sep 2026 16:02:18 GMT"
2026-09-15,4,淑麗氣象／東北季風又來了！北北基宜越晚雨越大,生活氣象,非政治,東森新聞,"Sun, 13 Sep 2026 23:34:00 GMT"
2026-09-15,4,蕭美琴驚險突破封鎖抵義大利！北京不爽嗆卑鄙 他讚外交一事：見證歷史,政治,正面執政,三立新聞,"Sun, 13 Sep 2026 21:57:00 GMT"
2026-09-15,4,遇惡劣海象暈船嘔吐！ 林佳龍陪蕭美琴訪義返台：外交不是逞強鬥狠,政治,中性政治,自由時報,"Mon, 14 Sep 2026 04:44:28 GMT"
2026-09-15,5,沙烏地輸油管關閉恐影響全球4％供應 國際油價跳漲逾2％,經濟財經,非政治,自由時報,"Mon, 14 Sep 2026 01:02:34 GMT"
2026-09-15,5,沙烏地輸油管關閉恐影響全球4％供應 國際油價跳漲逾2％,經濟財經,非政治,自由時報,"Mon, 14 Sep 2026 01:02:34 GMT"
2026-09-15,5,波烏邊境遇攻擊！前英相強生搭車驚魂「逃過一劫」：普亭是被逼到牆角的老鼠| 國際焦點| 全球,國際,非政治,UDN 聯合報,"Mon, 14 Sep 2026 14:38:29 GMT"
2026-09-15,6,罕見缺席晚宴！習近平訪印驚傳不適 印度總理2度中斷致詞問「還好嗎」,國際,非政治,Yahoo新聞,"Mon, 14 Sep 2026 04:57:46 GMT"
2026-09-15,6,罕見缺席晚宴！習近平訪印驚傳不適 印度總理2度中斷致詞問「還好嗎」,國際,非政治,Yahoo新聞,"Mon, 14 Sep 2026 04:57:46 GMT"
2026-09-15,6,又變天了！東北季風連吹3天「2地轉雨」 杜鵑颱風恐生成,生活氣象,非政治,三立新聞,"Mon, 14 Sep 2026 00:38:00 GMT"
2026-09-15,7,郭禮伯臨終坦承章孝嚴是他的孩子 黃清龍：太過敏感只能深埋心底,其他,非政治,自由時報,"Mon, 14 Sep 2026 06:52:32 GMT"
2026-09-15,7,獨／一張照看前鎮漁港「烏龜」埋雜草中無人理 民眾虧「怎游回大海」,其他,非政治,UDN 聯合報,"Mon, 14 Sep 2026 23:10:51 GMT"
2026-09-15,7,接應高金素梅助理張俊傑逃亡 台中海線兄弟聲押禁見,政治,批在野,UDN 聯合報,"Mon, 14 Sep 2026 17:29:57 GMT"
2026-09-15,8,賴清德想幫盛魚「蔡英文急遮住碗」！小英1句吐槽曝真相 網全笑翻,政治,中性政治,Yahoo新聞,"Mon, 14 Sep 2026 23:23:00 GMT"
2026-09-15,8,郭禮伯臨終坦承章孝嚴是他的孩子 黃清龍：太過敏感只能深埋心底,其他,非政治,自由時報,"Mon, 14 Sep 2026 06:52:32 GMT"
2026-09-15,8,郭禮伯臨終坦承章孝嚴是他的孩子 黃清龍：太過敏感只能深埋心底,其他,非政治,自由時報,"Mon, 14 Sep 2026 06:52:32 GMT"
2026-09-15,9,爆青鳥控蔣萬安太太「矮化國格」 藍議員火大轟：賤招一堆- 政治,政治,互批,中時新聞網,"Mon, 14 Sep 2026 13:50:46 GMT"
2026-09-15,9,爆青鳥控蔣萬安太太「矮化國格」 藍議員火大轟：賤招一堆- 政治,政治,互批,中時新聞網,"Mon, 14 Sep 2026 13:50:46 GMT"
2026-09-15,9,賴清德想幫盛魚「蔡英文急遮住碗」！小英1句吐槽曝真相 網全笑翻,政治,中性政治,Yahoo新聞,"Mon, 14 Sep 2026 23:23:00 GMT"
2026-09-15,10,前鎮漁港花大錢卻開不了門 地方憂遊客跑了,其他,非政治,UDN 聯合報,"Mon, 14 Sep 2026 16:00:00 GMT"
2026-09-15,10,新系議員轟廢監院毀憲亂政 蔣萬安反擊：昔主張廢今成酬庸、髮夾彎？,政治,互批,UDN 聯合報,"Mon, 14 Sep 2026 07:41:44 GMT"
2026-09-15,10,美若對台軍售習近平取消川習會？川普回應了- 國際,政治,非政治,中時新聞網,"Sun, 13 Sep 2026 23:59:32 GMT"
2026-09-16,1,竹聯義堂武將「小麥可」協助共諜張俊傑逃亡 曾犯下立法院槍擊案,政治,批在野,UDN 聯合報,"Tue, 15 Sep 2026 07:03:36 GMT"
2026-09-16,1,竹聯義堂武將「小麥可」協助共諜張俊傑逃亡 曾犯下立法院槍擊案,政治,批在野,UDN 聯合報,"Tue, 15 Sep 2026 07:03:36 GMT"
2026-09-16,1,杜鵑颱風估今生成！預估大迴轉最新路徑曝光 午後降雨熱區曝,生活氣象,非政治,tw.news.yahoo.com,"Tue, 15 Sep 2026 22:53:00 GMT"
2026-09-16,2,獨家／黑人心肌梗塞 緊急送往台大醫院治療 老婆范瑋琪守身旁,娛樂影視,非政治,Yahoo新聞,"Tue, 15 Sep 2026 12:59:00 GMT"
2026-09-16,2,陳建州急性心肌梗塞緊急手術 術後轉加護病房首發文：一切平安,娛樂影視,非政治,Yahoo新聞,"Tue, 15 Sep 2026 21:15:54 GMT"
2026-09-16,2,竹聯義堂武將「小麥可」協助共諜張俊傑逃亡 曾犯下立法院槍擊案,政治,批在野,UDN 聯合報,"Tue, 15 Sep 2026 07:03:36 GMT"
2026-09-16,3,秋爽天氣只到明天 周末再轉炎熱 下周能否降溫杜鵑颱風北轉位置是關鍵,生活氣象,非政治,UDN 聯合報,"Wed, 16 Sep 2026 00:00:38 GMT"
2026-09-16,3,秋爽天氣只到明天 周末再轉炎熱 下周能否降溫杜鵑颱風北轉位置是關鍵,生活氣象,非政治,UDN 聯合報,"Wed, 16 Sep 2026 00:00:38 GMT"
2026-09-16,3,沈伯洋民調追上蔣萬安？秦慧珠開箱「真實數據」：哭吧吳思瑤,政治,批執政,NOWnews今日新聞,"Tue, 15 Sep 2026 05:37:10 GMT"
2026-09-16,4,美媒提美中「戰略重置」構想：川普放棄台灣、換陸撤出「這2國」,國際,非政治,鉅亨網,"Tue, 15 Sep 2026 23:32:05 GMT"
2026-09-16,4,美媒提美中「戰略重置」構想：川普放棄台灣、換陸撤出「這2國」,國際,非政治,鉅亨網,"Tue, 15 Sep 2026 23:32:05 GMT"
2026-09-16,4,川習會前夕 林佳龍：台美要去管理中國,政治,中性政治,UDN 聯合報,"Tue, 15 Sep 2026 16:00:00 GMT"
2026-09-16,5,沈伯洋民調追上蔣萬安？秦慧珠開箱「真實數據」：哭吧吳思瑤,政治,批執政,NOWnews今日新聞,"Tue, 15 Sep 2026 05:37:10 GMT"
2026-09-16,5,沈伯洋民調追上蔣萬安？秦慧珠開箱「真實數據」：哭吧吳思瑤,政治,批執政,NOWnews今日新聞,"Tue, 15 Sep 2026 05:37:10 GMT"
2026-09-16,5,獨家／黑人心肌梗塞 緊急送往台大醫院治療 老婆范瑋琪守身旁,娛樂影視,非政治,鏡週刊,"Tue, 15 Sep 2026 12:59:00 GMT"
2026-09-16,6,烏克蘭無視川普警告 襲擊俄羅斯煉油廠,國際,非政治,鉅亨網,"Tue, 15 Sep 2026 13:47:35 GMT"
2026-09-16,6,烏克蘭無視川普警告 襲擊俄羅斯煉油廠,國際,非政治,鉅亨網,"Tue, 15 Sep 2026 13:47:35 GMT"
2026-09-16,6,烏克蘭無視川普警告 襲擊俄羅斯煉油廠,國際,非政治,鉅亨網,"Tue, 15 Sep 2026 13:47:35 GMT"
2026-09-16,7,今日（09/15）重點新聞！勞動部今發紅包，勞保年金「每人平均領19000」／14縣市長輩健保費「免申請政府自動代繳」／颱風杜鵑影響台灣嗎？,經濟財經,非政治,風傳媒,"Tue, 15 Sep 2026 04:04:29 GMT"
2026-09-16,7,今日（09/15）重點新聞！勞動部今發紅包，勞保年金「每人平均領19000」／14縣市長輩健保費「免申請政府自動代繳」／颱風杜鵑影響台灣嗎？,經濟財經,非政治,風傳媒,"Tue, 15 Sep 2026 04:04:29 GMT"
2026-09-16,7,林佳龍稱「台美共管中國」 學者：聞所未聞,政治,批執政,UDN 聯合報,"Tue, 15 Sep 2026 16:00:00 GMT"
2026-09-16,8,不副署被美國學者認證公然違憲郭正亮：賴清德已歷史留名- 政治,政治,批執政,中時新聞網,"Tue, 15 Sep 2026 16:01:30 GMT"
2026-09-16,8,不副署被美國學者認證公然違憲郭正亮：賴清德已歷史留名- 政治,政治,批執政,中時新聞網,"Tue, 15 Sep 2026 16:01:30 GMT"
2026-09-16,8,不副署被美國學者認證公然違憲郭正亮：賴清德已歷史留名- 政治,政治,批執政,中時新聞網,"Tue, 15 Sep 2026 16:01:30 GMT"
2026-09-16,9,綠營猛打蔣萬安兒矇到選票？名醫嗆：選舉亂打低估選民- 政治,政治,互批,中時新聞網,"Mon, 14 Sep 2026 23:53:38 GMT"
2026-09-16,9,林佳龍稱「台美共管中國」 學者：聞所未聞,政治,批執政,UDN 聯合報,"Tue, 15 Sep 2026 16:00:00 GMT"
2026-09-16,9,今日（09/15）重點新聞！勞動部今發紅包，勞保年金「每人平均領19000」／14縣市長輩健保費「免申請政府自動代繳」／颱風杜鵑影響台灣嗎？,經濟財經,非政治,風傳媒,"Tue, 15 Sep 2026 04:04:29 GMT"
2026-09-16,10,沈伯洋合體陳水扁！加LINE燦笑、抱娃傻眼照笑翻全網,政治,正面執政,自由時報,"Tue, 15 Sep 2026 10:44:51 GMT"
2026-09-16,10,潛蕭美琴演講！他揭神秘女露餡：中國派人來,政治,中性政治,Yahoo新聞,"Tue, 15 Sep 2026 13:31:13 GMT"
2026-09-16,10,蔣萬安妻昔喊Chinese Taipei遭出征 沈伯洋：應聚焦「是誰害我們用」,政治,批在野,三立新聞,"Tue, 15 Sep 2026 13:40:00 GMT"
2026-09-17,1,杜鵑颱風飛得快估升中颱！大迴轉最新路徑曝光 今3地降雨機率高,生活氣象,非政治,Yahoo新聞,"Wed, 16 Sep 2026 22:30:00 GMT"
2026-09-17,1,杜鵑颱風飛得快估升中颱！大迴轉最新路徑曝光 今3地降雨機率高,生活氣象,非政治,Yahoo新聞,"Wed, 16 Sep 2026 22:30:00 GMT"
2026-09-17,1,杜鵑颱風周末起威脅日本 專家：飛得快難變胖估達中颱 赴東京注意航班,生活氣象,非政治,UDN 聯合報,"Wed, 16 Sep 2026 21:57:42 GMT"
2026-09-17,2,沈伯洋石牌掃街支持者擠爆！林杏兒酸「工讀生」 今再批丟臉：我們把假洋流掀開了,政治,互批,鏡週刊,"Wed, 16 Sep 2026 08:39:00 GMT"
2026-09-17,2,沈伯洋石牌掃街支持者擠爆！林杏兒酸「工讀生」 今再批丟臉：我們把假洋流掀開了,政治,互批,鏡週刊,"Wed, 16 Sep 2026 08:39:00 GMT"
2026-09-17,2,沈伯洋公館掃街「蔥抓餅婆婆竟是于北辰阿姨」！驚人諜戰背景曝光,政治,中性政治,Yahoo新聞,"Wed, 16 Sep 2026 03:36:21 GMT"
2026-09-17,3,幕僚諜影4-3》張俊傑擺老闆姿態 要求高金讓他掛公費助理,政治,批在野,自由時報,"Wed, 16 Sep 2026 02:32:24 GMT"
2026-09-17,3,幕僚諜影4-3》張俊傑擺老闆姿態 要求高金讓他掛公費助理,政治,批在野,自由時報,"Wed, 16 Sep 2026 02:32:24 GMT"
2026-09-17,3,警政署警務正涉持有毒品遭搜索 移送法辦將依法免職,社會,非政治,自由時報,"Wed, 16 Sep 2026 10:54:06 GMT"
2026-09-17,4,PLG／觀看友誼賽心肌梗塞送醫 聯盟：陳建州術後恢復狀況良好,體育,非政治,UDN 聯合報,"Tue, 15 Sep 2026 13:51:54 GMT"
2026-09-17,4,PLG／觀看友誼賽心肌梗塞送醫 聯盟：陳建州術後恢復狀況良好,體育,非政治,UDN 聯合報,"Tue, 15 Sep 2026 13:51:54 GMT"
2026-09-17,4,8天婚假增至14天！ 勞動部宣布加碼 支持勞工想婚,生活氣象,非政治,UDN 聯合報,"Wed, 16 Sep 2026 14:01:49 GMT"
2026-09-17,5,〈美股盤後〉Fed三年來首度升息！道瓊急瀉超630點 標普寫逾一個月低點,經濟財經,非政治,鉅亨網,"Wed, 16 Sep 2026 21:32:54 GMT"
2026-09-17,5,〈美股盤後〉Fed三年來首度升息！道瓊急瀉超630點 標普寫逾一個月低點,經濟財經,非政治,鉅亨網,"Wed, 16 Sep 2026 21:32:54 GMT"
2026-09-17,5,陳建州急性心肌梗塞！范范急哭揭過程摯友小S震驚嚇哭了| 星聞,娛樂影視,非政治,三立新聞,"Tue, 15 Sep 2026 23:31:00 GMT"
2026-09-17,6,提內湖交通新解方！沈伯洋拋9.5億蓋「自行車專用橋」跨河越堤直通內科,政治,中性政治,三立新聞,"Wed, 16 Sep 2026 03:09:00 GMT"
2026-09-17,6,提內湖交通新解方！沈伯洋拋9.5億蓋「自行車專用橋」跨河越堤直通內科,政治,中性政治,三立新聞,"Wed, 16 Sep 2026 03:09:00 GMT"
2026-09-17,6,幕僚諜影4-4》高金案揭統戰台灣原住民藍圖 廈大16族田調藏玄機,政治,批在野,自由時報,"Wed, 16 Sep 2026 02:37:00 GMT"
2026-09-17,7,台美打造台海「地獄場景」？ 揭仲：美爭辯對中戰略 我需負更多責任,政治,非政治,UDN 聯合報,"Wed, 16 Sep 2026 12:41:54 GMT"
2026-09-17,7,台美打造台海「地獄場景」？ 揭仲：美爭辯對中戰略 我需負更多責任,政治,非政治,UDN 聯合報,"Wed, 16 Sep 2026 12:41:54 GMT"
2026-09-17,7,台美打造台海「地獄場景」？ 揭仲：美爭辯對中戰略 我需負更多責任,政治,非政治,UDN 聯合報,"Wed, 16 Sep 2026 12:41:54 GMT"
2026-09-17,8,人口對策新措施 勞動部將宣告婚假8天增為14天,生活氣象,非政治,中央社 CNA,"Wed, 16 Sep 2026 12:27:00 GMT"
2026-09-17,8,人口對策新措施 勞動部將宣告婚假8天增為14天,生活氣象,非政治,中央社 CNA,"Wed, 16 Sep 2026 12:27:00 GMT"
2026-09-17,8,被列違紀參選！民進黨部喊採法律行動 朱政騏嗆：吳沛憶已違反選罷法,政治,批執政,三立新聞,"Wed, 16 Sep 2026 08:50:00 GMT"
2026-09-17,9,被列違紀參選！民進黨部喊採法律行動 朱政騏嗆：吳沛憶已違反選罷法,政治,批執政,三立新聞,"Wed, 16 Sep 2026 08:50:00 GMT"
2026-09-17,9,被列違紀參選！民進黨部喊採法律行動 朱政騏嗆：吳沛憶已違反選罷法,政治,批執政,三立新聞,"Wed, 16 Sep 2026 08:50:00 GMT"
2026-09-17,9,衝告別式要人投票給她？柯志恩火大了 採取法律行動全面提告,政治,批在野,news.nextapple.com,"Wed, 16 Sep 2026 11:51:00 GMT"
2026-09-17,10,藍白：全球民主現況報告 打臉賴政府,政治,批執政,UDN 聯合報,"Wed, 16 Sep 2026 16:00:00 GMT"
2026-09-17,10,藍白：全球民主現況報告 打臉賴政府,政治,批執政,UDN 聯合報,"Wed, 16 Sep 2026 16:00:00 GMT"
2026-09-17,10,藍白：全球民主現況報告 打臉賴政府,政治,批執政,UDN 聯合報,"Wed, 16 Sep 2026 16:00:00 GMT"
2026-09-18,1,幕後／謝新隆狂言「輸了沒面子」釀禍 謝典霖議會宴客保溪湖本命區 她爆料掀風暴,政治,批在野,Yahoo新聞,"Thu, 17 Sep 2026 22:30:00 GMT"
2026-09-18,1,前立委鄭汝芬100萬交保 謝家幹部接人、女兒謝衣鳯未現身,政治,批在野,Yahoo新聞,"Thu, 17 Sep 2026 21:53:51 GMT"
2026-09-18,1,謝典霖與父母遭聲請羈押 謝寒冰斷言結局：若被押就有好戲瞧了,社會,非政治,Yahoo新聞,"Thu, 17 Sep 2026 12:42:52 GMT"
2026-09-18,2,沈伯洋、蔣萬安看好誰當選？台北市長網路投票3.6萬人結果一面倒，他看好度破5成6,政治,中性政治,風傳媒,"Thu, 17 Sep 2026 06:44:45 GMT"
2026-09-18,2,明熱飆36度！杜鵑暴風圈下週「籠罩日本3地區」 最新移動路徑曝,生活氣象,非政治,Yahoo新聞,"Thu, 17 Sep 2026 13:35:00 GMT"
2026-09-18,2,沈伯洋、蔣萬安看好誰當選？台北市長網路投票3.6萬人結果一面倒，他看好度破5成6,政治,中性政治,風傳媒,"Thu, 17 Sep 2026 06:44:45 GMT"
2026-09-18,3,獨／涉助共諜張俊傑潛逃 竹聯幫義堂「小麥可」投案押往新店分局偵訊,政治,批在野,UDN 聯合報,"Thu, 17 Sep 2026 05:50:57 GMT"
2026-09-18,3,藍綠同場！蔣萬安稱自行車橋不可行 沈伯洋：大家不想聽「做不到」3字,政治,中性政治,三立新聞,"Thu, 17 Sep 2026 13:25:00 GMT"
2026-09-18,3,獨／涉助共諜張俊傑潛逃 竹聯幫義堂「小麥可」投案押往新店分局偵訊,政治,批在野,UDN 聯合報,"Thu, 17 Sep 2026 05:50:57 GMT"
2026-09-18,4,「健康幣」10月上路 首年預估核發至少136億幣,生活氣象,非政治,health.ltn.com.tw,"Thu, 17 Sep 2026 05:41:00 GMT"
2026-09-18,4,紅海石油命脈告急！沙國急向中國求援 北京私下要求伊朗約束青年運動,國際,非政治,鉅亨網,"Thu, 17 Sep 2026 13:10:02 GMT"
2026-09-18,4,「健康幣」10月上路 首年預估核發至少136億幣,生活氣象,非政治,health.ltn.com.tw,"Thu, 17 Sep 2026 05:41:00 GMT"
2026-09-18,5,營建股明天要噴了？央行鬆綁信用管制馨傳智庫何世昌：猶如房市續命丸- 房市,經濟財經,非政治,工商時報,"Thu, 17 Sep 2026 10:27:00 GMT"
2026-09-18,5,獨／涉助共諜張俊傑潛逃 竹聯幫義堂「小麥可」投案押往新店分局偵訊,政治,批在野,UDN 聯合報,"Thu, 17 Sep 2026 05:50:57 GMT"
2026-09-18,5,營建股明天要噴了？央行鬆綁信用管制馨傳智庫何世昌：猶如房市續命丸- 房市,經濟財經,非政治,工商時報,"Thu, 17 Sep 2026 10:27:00 GMT"
2026-09-18,6,高虹安、盧秀燕淪縣市長民調「最慘吊車尾」！醫猜是這原因：其他民調明明還不錯 | 張大任 | 新聞,政治,中性政治,風傳媒,"Thu, 17 Sep 2026 06:25:54 GMT"
2026-09-18,6,健康幣10月上路12月起兌換最多可累積1.3萬幣| 政治,生活氣象,非政治,cna.com.tw,"Thu, 17 Sep 2026 05:15:00 GMT"
2026-09-18,6,〈台股盤前要聞〉台指期夜盤大漲突破4萬7、央行不跟進升息對房市再鬆綁,經濟財經,非政治,鉅亨網,"Thu, 17 Sep 2026 21:11:11 GMT"
2026-09-18,7,王偉忠稱梁文傑「表情冷冷讓同胞寒冷」！妻林楚茵高EQ發聲了,政治,批執政,Yahoo新聞,"Thu, 17 Sep 2026 22:02:00 GMT"
2026-09-18,7,沈伯洋掃街掀「洋流」，北市要變天了？郭正亮憶綠營2005年慘案：給青鳥上一課,政治,中性政治,Yahoo新聞,"Thu, 17 Sep 2026 14:49:04 GMT"
2026-09-18,7,王偉忠稱梁文傑「表情冷冷讓同胞寒冷」！妻林楚茵高EQ發聲了,政治,批執政,Yahoo新聞,"Thu, 17 Sep 2026 22:02:00 GMT"
2026-09-18,8,今熱飆36度週末全台天氣出爐！杜鵑颱風增強「東北大迴轉」 路徑曝光,生活氣象,非政治,Yahoo新聞,"Thu, 17 Sep 2026 22:55:00 GMT"
2026-09-18,8,王偉忠稱梁文傑「表情冷冷讓同胞寒冷」！妻林楚茵高EQ發聲了,政治,批執政,Yahoo新聞,"Thu, 17 Sep 2026 22:02:00 GMT"
2026-09-18,8,今熱飆36度週末全台天氣出爐！杜鵑颱風增強「東北大迴轉」 路徑曝光,生活氣象,非政治,Yahoo新聞,"Thu, 17 Sep 2026 22:55:00 GMT"
2026-09-18,9,全公開！全台候選人犯罪「1黨洗榜」 驗證傅崐萁「沒2、3條不大尾」,政治,非政治,ETtoday新聞雲,"Thu, 17 Sep 2026 02:15:00 GMT"
2026-09-18,9,高虹安、盧秀燕淪縣市長民調「最慘吊車尾」！醫猜是這原因：其他民調明明還不錯 | 張大任 | 新聞,政治,中性政治,風傳媒,"Thu, 17 Sep 2026 06:25:54 GMT"
2026-09-18,9,全公開！全台候選人犯罪「1黨洗榜」 驗證傅崐萁「沒2、3條不大尾」,政治,非政治,ETtoday新聞雲,"Thu, 17 Sep 2026 02:15:00 GMT"
2026-09-18,10,打完了？川普證實與伊朗已「直接接觸」 美媒報導白宮擬定「戰後第一天」計畫,國際,非政治,Yahoo新聞,"Thu, 17 Sep 2026 08:00:39 GMT"
2026-09-18,10,全公開！全台候選人犯罪「1黨洗榜」 驗證傅崐萁「沒2、3條不大尾」,政治,非政治,ETtoday新聞雲,"Thu, 17 Sep 2026 02:15:00 GMT"
2026-09-18,10,高虹安、盧秀燕淪縣市長民調「最慘吊車尾」！醫猜是這原因：其他民調明明還不錯 | 張大任 | 新聞,政治,中性政治,風傳媒,"Thu, 17 Sep 2026 06:25:54 GMT"
2026-09-19,1,謝新隆、謝典霖遭羈押 Cheap酸：機關算盡太聰明、連褲子都賠進去,社會,非政治,Yahoo新聞,"Fri, 18 Sep 2026 14:50:40 GMT"
2026-09-19,1,謝典霖父子涉賄選遭羈押看守所編號曝光 宵夜嗑泡麵早餐吃光光,社會,非政治,Yahoo新聞,"Fri, 18 Sep 2026 04:21:29 GMT"
2026-09-19,1,謝典霖父子涉賄選遭羈押看守所編號曝光 宵夜嗑泡麵早餐吃光光,社會,非政治,Yahoo新聞,"Fri, 18 Sep 2026 04:21:29 GMT"
2026-09-19,2,【更新】協助張俊傑脫逃第10人現形 吳東翰軍營拘提5萬交保,政治,批在野,Yahoo新聞,"Fri, 18 Sep 2026 15:39:13 GMT"
2026-09-19,2,突破異溫層！？沈伯洋掃街 民眾舉牌「我是中國人我選沈伯洋」合照,政治,正面執政,三立新聞,"Fri, 18 Sep 2026 04:10:00 GMT"
2026-09-19,2,川普宣布達格陵蘭協議 將大規模駐軍並獲「永久安全控制權」,國際,非政治,鉅亨網,"Fri, 18 Sep 2026 22:11:03 GMT"
2026-09-19,3,川普宣布達成格陵蘭協議！美「永久」掌控安全 丹麥總理回應了,國際,非政治,UDN 聯合報,"Fri, 18 Sep 2026 23:23:58 GMT"
2026-09-19,3,川普宣布達成格陵蘭協議！美「永久」掌控安全 丹麥總理回應了,國際,非政治,UDN 聯合報,"Fri, 18 Sep 2026 23:23:58 GMT"
2026-09-19,3,獨／高雄飛澳門班機遭鳥襲延誤 129名旅客從下午等到天黑還沒飛,社會,非政治,UDN 聯合報,"Fri, 18 Sep 2026 12:57:35 GMT"
2026-09-19,4,獨／高雄飛澳門班機遭鳥襲延誤 129名旅客從下午等到天黑還沒飛,社會,非政治,UDN 聯合報,"Fri, 18 Sep 2026 12:57:35 GMT"
2026-09-19,4,獨／高雄飛澳門班機遭鳥襲延誤 129名旅客從下午等到天黑還沒飛,社會,非政治,UDN 聯合報,"Fri, 18 Sep 2026 12:57:35 GMT"
2026-09-19,4,突破異溫層！？沈伯洋掃街 民眾舉牌「我是中國人我選沈伯洋」合照,政治,正面執政,三立新聞,"Fri, 18 Sep 2026 04:10:00 GMT"
